response;sexe;age;profession
"Les trafics ne seront jamais empêchés par la répression, cinquante années d'échecs patents doivent suffire pour tirer un bilan limpide. Tant qu'il y aura des personnes désirants consommer des drogues, il y aura un marché. Les profits réalisés sont trop importants pour décourager les trafiquants, sachant de plus que ce sont souvent les ""petites mains"" qui prennent pour les organisateurs, souvent à labri de poursuites, et que les moyens répressifs resteront toujours insuffisants pour mettre fin aux trafics incessants et très nombreux.

Pour venir à bout des trafics, il est nécessaire de légaliser les usages, et les réguler. Il est nécessaire pour cela que les législateurs.trices se penchent sur les expériences menées par d'autres pays, notamment le Portugal, lUruguay, les États-Unis , Les Pays-Bas, Etc. Légaliser, ouvrir un marché légal, encadré mais souple, ouvrir des perspectives de commercer/acheter via des coffees-shop, des cannabistrots, via les herboristeries et les pharmacies, avec des tarifs pratiqués qui casseraient le marché noir (comme en Uruguay).  

Beaucoup de consommateurs.trices seront bien plus enclin à aller, comme aux Pays-Bas ou ailleurs, dans des endroits sûrs, agréables, où les plantes vendues sont de qualités, où l'on peut connaitre le type de plante, son origine, ses vertus, sa teneur en THC, et où on peut même se procurer du cannabis thérapeutique. Il faudrait également pouvoir permettre aux gens de produire eux-même leur cannabis (auto-production), à usage personnel, et dans le cadre d'association de consommateur, ainsi que dans le cadre d'une production visant à alimenter des lieux de vente publics.

Sans cela, les consommateurs continueront malheureusement de s'approvisionner auprès du marché noir, où le consommateur est dépendant des trafiquants, et dans l'incapacité de connaitre le type, la qualité, etc. du produit acheté, des produits souvent coupés, de mauvaise qualité,  bien plus dommageables pour la santé que des produits encadrés et légaux.

De plus, la répression touche des populations bien souvent défavorisées, qui pour beaucoup, n'ont que peu de débouché dans la société, peu d'accès aux études, à l'emploi, et qui voient dans le trafic le moyen de vivre, et non survivre dans notre société de plus en plus inégalitaire. La politique répressive touche certains segments très précis de la population, et conduit à des discriminations racistes, contrôles au faciès, et condamnations/punitions démesurées de personnes déjà stigmatisées, et pour beaucoup abandonnées à leur sort par les pouvoirs publics. Il est temps que cela s'arrête, et que ces personnes soient aidées autant que possible pour vivre dignement, et non réprimées au quotidien.

La légalisation large des drogues permettrait des changements profonds dans notre société: 
- Baisse de la délinquance
- Réduction du nombre de prisonniers abusivement/illégitimement enfermés (1/3 des prisonniers le sont du fait d'affaires liées au trafic ou à la production et/ou la consommation)
- Baisse drastique du temps dédié par la Justice aux dossiers liés aux trafics du quotidien.
- Ouverture d'un marché extrêmement lucratif, notamment pour les finances publiques (le marché noir est tout de même évalué à 2 milliards par an en France!), porteur d'emplois nombreux et dans de nombreux secteurs (agriculture, commerce, logistique, communication, santé, etc.)
- Baisse du taux de chômage, regain d'activités économiques dans des quartiers, villes, villages en difficultés.
- Meilleur prévention sur les drogues, baisses des contaminations liées aux usages de drogues plus dures (hépatites, VIH, etc.) via une politique de santé publique efficace, humaine, intelligente.
- Lacquisition de connaissances utiles pour la population d'une plante aux vertus thérapeutiques très larges.
- Réduction des violences, des trafics
- Réorientation des actions de la police, libérée d'une inutile, coûteuse, et mortifère chasse aux consommateurs et dealers.
Etc., etc.";Je ne souhaite pas répondre;30 à 39 ans;Autres personnes sans activité professionnelle
"Ce dispositif n'est pas en direction de la Santé publique,  de Promotion à et pour la Santé: dont l'Éducation à et pour la Santé, la Prévention,  sont les 90% du champ d'un État de BIEN-ÊTRE Bio-Psycho-Social et Environnemental  . Il ne se dote pas de moyens humains et financiers pour faire AVEC les consommateurs de Cannabis, mais CONTRE eux. Les Projets de Santé Communautaire ne sont plus à l'ordre du jour, le travail fait à ce sujet fin années 90  dans les groupes comme A SUD  ( Auto support Usagers de Drogue ) RdR  ( Réduction des Risques)... le travail d'accompagnement, et de Réflexion n'existe pratiquement plus, tout simplement parce que les ONG qui pouvaient s'en occuper comme SOS DI MDM, et ont grandi grâce à cet élan et conscience des usagers de se prendre en main, avec des professionnels de Santé , s'est réduit à utiliser la vague en Santé communautaire,  pour la casser, lui enlever toute sa substance politique du problème en terme de déterminants de Santé et de pouvoir agir sur ces leviers afin de modifier les comportements à Risques . Le modèle du"" Management d'Entreprises "" s'est retrouvée dans ces Associations, on a pris un peu d'""empowerment"" ( à la canadienne ) , un peu du ""Care"", un peu et bcp d'opportunisme de la part des dirigeants, brandissant la dépendance aux Subventions, pour pouvoir fonctionner. Donc répondre aux appels à Projets dans une langue de bois, qui cadrait avec celle des financeurs , on a descendu le niveau d'exigence du SENS, que chacune des parties : Usagers, Asso, bailleurs de fond ou Financeurs : les ARS sont arrivés, avec peu de Médecins et/où de professionnels formé en SANTÉ PUBLIQUE, où Instances qui devaient respecter la CHARTE D'OTTAWA 1986, afin de respecter et Promouvoir la Santé pour les Populations. Nous avons donc terminé dans ces Instances Associatives et Territoriales de continuer à échanger , discuter sur la Dépénalisation, ou la légalisation du Cannabis, ou de l'usage  de drogues injectables pour certains usagers, nous nous sommes couper des lieux où les pairs salariés de ces associations de RdR,  étaient en lien avec les guetteurs, les petits, les moyens, les gros dealers. Tout comme les Éducs de Rue ont disparus on a préféré les grands frères, bénévoles et non salariés formés dans les Asso, on a supprimé les binômes Infirmière/Animateur de prévention ou Travailleur-euse-s pairs ces personnes ressources étant eux-même usagers et Salariés et non contrat aidé ( bidons). 
On n'à pas voulu travailler avec ces jeunes et leur demander comment eux pouvoient envisager la fin du Trafic.  Puisque c'est devenu pour eux qui ont grandi dans la PRÉCARITÉ de leur Parent , un moyen de subvenir à leur besoins. Nous n'avons pas su organiser la vente du cannabis de manière efficace en créant des"" coffe-Shop"" co-géré avec les usagers et les professionnels de Santé/Éducatif la production et la vente en  contrôlanthoni ce qui était sur le Marché et ne pas vendre des substances hyper traffiquées, dangereuses,  pour les consommateurs. Pour cela il faut avoir le courage d'une réelle politique de Santé publique, d'intégrer et former les personnes ressources de les Salarier, correctement de mettre en place des binômes de professionnels de Santé/Éducatif de les former et Salarier correctement . Ce qui n'est plus le cas actuellement tant aux niveau des Infirmier-ère-s,  des Travailleur-euse-s Sociaux , des animateurs/médiateurs en Santé.";Une femme;50 à 64 ans;Professions intermédiaires
"Le dispositif actuel est juste une perte de temps car pour un dealer condamné combien de nouveaux dealers arrivent sur le marché ? En plus les dealers sont souvent des personnes qui n'ont rien à perdre alors être condamnés à de la prison je pense que ça ne leur fait ni chaud ni froid. Et vu la misère dans laquelle ils vivent et l'argent que le trafic rapporte, je pense qu'ils sont prêt à prendre le risque.
Il faut aborder le problème différemment. Comme tout business, il est lié à la demande. Si demain il n'y a plus de demande alors il n'y a plus d'offre non plus. Au lieu de vouloir à tout prix condamner alors qu'on constate bien que cela n'est pas efficace, mieux vaut légaliser et pouvoir absolument tout contrôler.
Alors oui j'entends bien le cannabis est mauvais pour la santé, mais bon le tabac et l'alcool aussi et pourtant ce n'est pas illégal ... De plus le cannabis a lui au moins des vertus thérapeutiques que l'on ne peut pas prêter au tabac ou à l'alcool. Je pense qu'il faut prendre le problème dans son ensemble et ne pas tomber dans le piège de se dire ""cannabis=drogue=répression et condamnation"". Il faudrait mieux essayer de comprendre qui sont les gens qui consomment pour pouvoir les aider et faire diminuer progressivement le trafic.
Pour moi, les personnes qui consomment du cannabis récréatif sont loin d'être ceux que l'on pense, cela va de la personne qui a fait une erreur de jeunesse et qui est aujourd'hui complétement accro, à la personne qui a des pathologies lourdes et qui ne trouve de soulagement que dans le cannabis car tout les autres traitements ont échoué, en passant par la personne qui a des gros troubles du sommeil ou d'anxiété. Cela peut être un jeune, un vieux, une mère de famille aussi. Certains sont même envoyé par leurs médecins qui n'a plus de solutions pour eux et qui en désespoir de cause, orientent les patients sur le cannabis récréatif.
Malheureusement ici la souffrance de ces gens ce sont les dealers qui en profitent en vendant des produits de qualités médiocres et coupés avec des substances dangereuses. Si demain le cannabis récréatif était légalisé, cela permettrait à l'Etat de s'enrichir massivement grâce aux taxes et impôts ( et on sait que l'argent avec la crise du Covid19 on en a plus que grandement besoin en ce moment ), d'avoir un oeil sur la qualité des produits mais aussi sur les taux de THC autorisés dans les plantes, mais aussi un vrai suivi pour les consommateurs. Et avec l'argent obtenu l'Etat pourrait mettre en place des campagnes de  prévention et des centres de désintoxication pour aider ces gens. 
Si il n'y a plus de demandes alors il n'y a plus d'offres.  Je pense que c'est une façon beaucoup plus intelligente d'aborder le problème. 
Et en parallèle il serait temps de légiférer sur le CBD qui est une molécule avec beaucoup de vertus et qui pourrait être notamment un substitue au cannabis récréatif et aider beaucoup de consommateurs qui cherchent à arrêter de fumer.";Une femme;18 à 29 ans;Artisans, commerçants et chefs d'entreprises
"En essence, le trafic illégal de cannabis est lié à des groupes criminels organisés qui sont liés au blanchiment d'argent, à la vente d'armes et de la revente de drogues dures.

L'illégalité actuelle du cannabis en France profite aux trafiquants, qui misent sur la manque de transparence d'information dans le marché du cannabis.

Cette illégale permet aux groupes criminels impliqués dans le trafic de cannabis de s'éviter de se conformer aux conditions de concurrence pure et parfaite, totalement déformés:
1. Atomicité: le nombre de vendeurs est limité du fait de l'illégalité du cannabis.
2. L'homogénéité des produits: aucun standard sanitaire, de production, de stockage, de distribution du cannabis n'existe en France. 
Ainsi, les trafiquants peuvent se permettre librement d'aller aussi loin que de rajouter du verre pillé, de l'henné et d'autres substances, de faire pousser le cannabis dans des locaux dans des conditions douteuses souvent avec l'utilisation de pesticides (cancérogènes) afin d'augmenter leur rendement. Les variétés de fleurs de cannabis vendues sont sélectionnés sur base du rendement (famille cannabis indica) et de la teneur en THC. Tout ceci participe à ce que le cannabis en vente soit de piètre qualité, non controlée, et plus nocive que ce que les fleurs de cannabis naturelles et organiques (biologiques) peuvent être.
3. Fluidité: la libre entrée et sortie sur le marché du cannabis (pour vendeurs, mais aussi pour les acheteurs) n'existe pas. L'illégalité profite ainsi aux groupes criminels organisés prêt à assumer de le risque de l'illégalité, qui lui est (ironiquement) récompensé financièrement par les acheteurs -- qui auraient pourtant mieux à acheter leur cannabis par des voies légales, homologuées et certifiées, respectant des cahiers de charges spécifiques et offrant un suivi de la graine à la fleur et un tracking le plus détaillé dans et de tous les points de vente de cannabis.

Enfin, la question persiste et doit se poser de comprendre léchelle dintégration des marchés illégaux de cannabis dans la société française et dans l'économie française.
De la dimension sanitaire (standards de qualité, variétés choisies, teneurs en THC/CBD/terpens, etc., mais aussi coût de la prise en charge sanitaire des fumeurs), à la question économique (création d'écosystème lié à une filière française de cannabis), à la question de la cohésion et de la paix sociale (évincement de la masse salariale illégale librement disponible aux groupes criminels organisés), enfin, à la question morale de limiter l'accès à un cannabis réglementé et de qualité (alors que les cigarettiers et producteurs d'alcool ont 'terrain libre', avec des produits très nocifs pour la santé physique et mentale), le sujet de l'illégalité du cannabis pose de nombreuses questions qui méritent d'être analysées et discutées, notamment à la lumière de l'expérience d'autres pays (tels le Portugal, les Pays-Bas, la Suisse, certains Länder en Allemagne, mais aussi en Italie et en Espagne). 

Une chose est pourtant claire et sure dans l'expérience de ce citoyen: le dispositif actuel non seulement ne permet pas de lutter efficacement contre les trafics, mais, au contraire, participe à leurs évolutions.";Un homme;18 à 29 ans;Cadres et professions intellectuelles supérieures
"Le trafic s'adapte à la législation. Actuellement, il est possible de commander n'importe quel produit par texto et de se le faire livrer dans sa boite aux lettres. 
Le dispositif actuel ne semble pas dissuader les trafiquants. Je me souvient avoir lu un article sur la ville de Los Angeles il y a quelques années. La bas, un juge pouvait saisir tous les bien d'une personne condamnée pour trafic, ses biens sont mis en vente aux archères et le produit de ses vente servait à financer le matériel de la police et les programmes de réinsertion (Une piste intéressante, je trouve).

Un travail d'éducation sur les stupéfiants serait nécessaire auprès des enfants et des ados (les consommations commencent au collège) : effets sur le corps, la santé, effets psychologiques, conséquences sociales et matérielles...et pas seulement un rappel à la loi comme j'ai pu le vivre en cours d'svt quant j'étais ado. J'ai rencontré une jeune fille de 17 ans parfaitement intégrée, milieu aisé, étudiante, bosseuse, qui commande par texto avec ses copines sa dose de coke et de LSD tous les week-ends. Elle ne s'en cache même plus.

Le débat sur la dépénalisation se pose : il est pertinent s'il met fin aux trafics qui enrôlent jusqu'aux ados qui font les guetteurs sur les lieux de vente. Il s'agit ici à mes yeux d'un abandon de ces populations par les autorités. Quel autre projet de vie est possible pour des populations qui ne voient que cette solution pour gagner de l'argent ? Il remettrait surtout la question de la santé et de la sécurité des jeunes au centre du débat : des jeunes informés sur la réalité des produits, ce qu'implique leurs consommation et quels sont les dispositifs existants pour se soigner et s'en éloigner. 

Concernant mes trois dernières réponses, dont les questions sont à mon avis mal posées ! : 
- il n'est pas pertinent selon moi de classer la dangerosité des produits : chaque personne qui consomme à un profil et des consommations différentes, certaines cumulent les produits, entrainant des effets et des prises en charge variées. 
- la consommation de cannabis est différente du tabac : elle peut entrainer des troubles du comportement, des troubles neurologiques et psychologiques, un isolement, une marginalisation de la personne qui consomme en raison de l'illégalité du produit.
- la dépénalisation ou l'encadrement par l'Etat de la vente de ces produits ne doit pas se faire sans un dispositif d'accès au soins pour les personnes dépendantes. Cela est aussi valable pour une législation répressive : il vaut mieux soigner la personne que l'envoyer en prison. Un consommateur de produits n'est pas un criminel, mais dépendant de produits toxiques et dangereux pour sa santé et entrainant un risque de marginalisation par sa consommation.";Un homme;30 à 39 ans;Autres personnes sans activité professionnelle
"Je pense qu'au vu des données que nous pouvons désormais obtenir et le recul que l'on peut avoir à l'heure actuelle concernant tout type de produit susceptible de donner une altération des sens de même catégorie ou approchant (alcool, notamment ...), il est d'une évidence absolue que mener des politiques de "" tout répressif"" ne fait qu'attiser, surement avec la sensation de "" braver l'interdit"" comme effet de levier, le désir d'en consommer. Le raisonnement se tient, puisque l'on pourrait remplacer le terme "" cannabis"" par "" alcool"" et comprendre aisément qu'il se passerait la même chose. La vrai question, dans un monde ou chaque citoyen du monde utilise les reseaux sociaux, les plateformes web pour se fournir en biens, équipement et toute chose qu'il juge utile pour son bonheur, l'alcool en fait partie et de toute évidence, le cannabis ""bien-être"" également. Lutter contre les traffics impose de s'emparer de ce marché, chose qu'ont fait divers pays comme cités dans l'article du monde mis en exemple dans la précédente question. Réguler et en tirer avantage. Tout le monde en sort gagnant : des revenus pour l'Etat, du temps libéré par les forces de l'ordre, des produits de qualité mettant à mal bon nombre de traffics, un citoyen satisfait d'être dans la légalité. Légaliser, c'est encadrer. Encadrer, c'est accompagner. Accompagner c'est maîtriser. En 2021, avec le recul et nos sociétés actuelles, légaliser la consommation aussi bien thérapeutique et bien-être reviendrait à créer de nouvelles opportunités positives, notamment pour l'Etat et le consommateur, mais également pour endiguer et réduire à titre de choc, les revenus des trafficants. Prenons - leur ce qu'ils se sont appropriés. Tirons profit de ce qui semble leur réussir avec le cannabis. Soyons enfin en accord avec la société car au vu des chiffres précédemment cités par les journalistes, si il serait si néfaste pour la société d'en consommer, il y aurait alors près d'un millions de personne qui, quotidiennement mettent à mal la sécurité d'autrui. Hors, nous savons que l'aspect sécuritaire est devenu caduc. Je ne me positionne pas en consommateur , n'en ayant consommé qu'une fois. Cependant d'un point de vue manichéen, cette guerre face a un produit qui devrait être autorisé à être consommé en âme et conscience chez sois  - comme c'est le cas pour l'alcool et devrait être interdit sur la voie publique avec tout ce qui en découle pour bien faire comprendre qu'il ne vaut mieux pas (accidents aux conséquences juridiques plus lourdes, etc.) - doit cesser, au vu des dépenses de temps, d'argent (des contribuables), d'énergie et autres dépensés pour si peu de résultats face à l'évidence.";Un homme;30 à 39 ans;Cadres et professions intellectuelles supérieures
"Jusquà une période récente la politique internationale concernant les psychotropes, et notamment le cannabis, visait à leur éradication par le vecteur de leur prohibition. Elle prend forme au début du XXe siècle sous limpulsion des ligues de vertu et de tempérance américaines, avant dêtre popularisée par Richard Nixon sous lintitulé de « guerre à la drogue ». Elle aboutit en 1961 à ladoption de la Convention unique sur les stupéfiants de l'ONU. Lobjectif est de limiter lusage des psychotropes aux seules fins médicales et scientifiques et dencadrer leur utilisation afin déviter tout abus, vers le trafic et lusage qui constituent des infractions pénales. Ainsi les consommateurs de psychotropes sont assimilés à des criminels et emprisonnés dans de nombreux pays, à commencer par les États-Unis, mais également la France.
Dans un rapport de 2014 intitulé « Ending the Drug Wars », cinq prix Nobel etpersonnalités politiques de premier plan dressent un réquisitoire sans appel contre cette politique. Elle a produit des effets négatifs incommensurables à léchelle de la planète : incarcération de masse aux États-Unis, politiques ultra-répressives et violation des droits de lHomme en Asie, vaste système de corruption et de déstabilisation en Afghanistan et en Afrique de lOuest, vagues de violence sans précédent en Amérique latine, épidémie de sida en Russie. Et malgré un coût humain et fiscal exorbitant, elle a été incapable déradiquer la toxicomanie. 

L'ONU estime que 275 millions de personnes, soit 5,6 % de la population mondiale âgée de 15 à 64 ans, avaient consommé une drogue illicite en 2016. Pour 192,2 millions dentre elles, soit 3,9 % de la population adulte, il sagissait du cannabis?. Comme ces millions de consommateurs ne peuvent se procurer leurs drogues légalement, une des conséquences extrêmement dommageables de la prohibition a été de favoriser lémergence du crime organisé. Le trafic de drogue en est sa première source de revenus. Les volumes financiers, estimés en 2005 à 142 milliards pour le seul cannabis, sont tels quils permettent de corrompre des centaines de milliers de fonctionnaires et délus. Ils corrompent également le réseau de la finance mondiale à travers des opérations de blanchiment de grande envergure. Finalement, ils alimentent la violence, la guérilla et le terrorisme.
Face à tant dinconvénients et si peu de résultats sur la consommation, plusieurs États américains ont choisi de légaliser le cannabis, à des fins thérapeutiques, mais aussi à des fins récréatives.";Un homme;30 à 39 ans;Cadres et professions intellectuelles supérieures
"Voici ma réflexion, simplement pragmatique sur le sujet. Pour moi, le dispositif actuel a même l'effet contraire. Ce dispositif fait des trafiquants le seul moyen de se procurer du cannabis à usage récréatif, pour des consommateurs qui, de toute manière, ne vont pas renoncer à en acheter parce que cela est illégal. C'est une constatation indéniable et cela donne le monopole de ce commerce aux trafiquants.
Partant de ce constat, autoriser une production privée et personnelle, chez soi, pourrait être une piste, voire un minimum, pour lutter contre le trafic. Néanmoins, je pense que cela ne serait qu'une demi-action pour un demi-résultat. D'autant plus que cela exclu un certain nombre de consommateurs, de fait (par impossibilité, méconnaissance ou bien par facilité), qui continueront à s'orienter vers le trafic.
Par conséquent, autant régulariser et sécuriser ce commerce. De manière à ce que les consommateurs puissent se diriger vers des filières légales, saines, contrôlées, avec des points de ventes légaux, encadrés et accéder à des produits sains. Ce qui permettrai, également, d'appliquer les taxes ordinaires inhérentes à tout autre commerce légal, sur les revenus que génère ce commerce. Car, avec le système actuel, ces potentielles recettes sont perdues.
Bien entendu, à mon sens, cela ne peut fonctionner que si la taxation ne conduit pas non-plus à un tarif, pour le consommateur, spécialement plus élevé que le celui du marché illégal. Auquel cas, il pourrait continuer à se tourner vers le marché illégal.

Pour conclure, je pense que des filières légales permettrait d'assécher le flux de clients (et de vendeurs) se dirigeant vers le trafic. Tout en assainissant la situation sur de nombreux points économiques, sanitaires, sécuritaires, sociaux... De plus, inciter le commerce illégal à se légaliser et entrer dans le cadre d'une nouvelle législation sur le sujet serait, pour moi, un point d'appui non-négligeable en plus pour s'orienter dans la bonne direction, ainsi qu'une formidable bascule sociaux-économique.
Je rapproche parfois ce sujet à la période de prohibition de l'alcool dans l'histoire des états-unis (avec des pincettes, car je la connais très mal).

Bien entendu, basé sur ce raisonnement, une simple dépénalisation de la consommation, sans une légalisation du commerce (encadré et protégé par la loi), ne serait qu'un demi-pas.";Un homme;30 à 39 ans;Employés
"Je me demande souvent à qui profiterait, au fond, la légalisation du cannabis en France ? 
Au consommateur ? Jai appris quà la sortie du collège privé du fils, établissement de campagne, tranquille, bon chic, bon genre, ça dealait sans réserve, à deux pas de la gendarmerie faisant face ! « Autant que ce soit là , les gendarmes surveillent, de loin, repèrent les dealers, remontent le fil. Sils se montrent trop présents, ça narrangera rien. La racaille ira ailleurs, un peu plus loin » ma dit quelquun du métier. Que souhaite-t-on avant tout ? Protéger le consommateur ou poursuivre le dealer ?
A lEtat, sous couvert dun discours sécuritaire : contrôler la qualité de la production, combler le trou de la sécurité sociale avec largent ainsi récupéré, le réinvestir aussi dans des campagnes pour soutenir le consommateur, réguler la consommation en espérant réduire le risque individuel, réduire la place et léconomie aujourdhui tenue par les cartels divers. 
Bien évidemment, les cartels et dealers ne sen laisseraient pas compter. En véritables hommes et femmes daffaire, ils maîtrisent tous les secrets dun bon marketing et de la vente, arguant de proposer ce quil y a de mieux : super cannabis, skunk, herbe BIO... ! Également compétents en recherche et développement, ces organisations font valoir leur mérite : elles disent, elles-aussi, veiller au bien-être du consommateur, lui en donner pour son argent ! Depuis une dizaine dannées, la concentration du principe actif dans le cannabis a triplé, rendant le risque de dépendance plus probant et rapide ! Belle aubaine ! Et si la vente de cannabis devait leur échapper en théorie, pas de panique, les drogues de synthèse sont déjà suffisamment appréciées. Le marché peut encore se développer. Et cest autre chose qu'un pétard ! No limit lorsquil sagit dargent ! 
Enfin, comment imaginer quils pourraient lâcher le marché français, superbe plate-forme de distribution et lieu de transit entre le Maroc et les Pays Bas ? Dans ce royaume-là, « Oui-Oui » a perdu son bonnet rouge à clochette depuis bien longtemps. Et tout cela, au détriment, de la santé dune jeunesse ! Interdire ou libérer, est-ce au fond le sujet sur lequel débattre sagissant de cette jeunesse ?";Une femme;50 à 64 ans;Cadres et professions intellectuelles supérieures
"Je pense que ce n'est pas en arrêtant qques trafiquants ou faire de grosses prises de temps en temps que ça va s'arrêter. La CONNAISSANCE est la seule protection efficace ! Moins de consommateurs = moins de dealers.
Pour exemple le Colorado. Voir « The Legalization of Marijuana in Colorado : The Impact - Vol. 4/September 2016 » sur internet :
 Les décès dus à la marijuana liée à la circulation ont augmenté de 48% en moyenne sur trois ans (2013-2015) depuis que le Colorado a légalisé la marijuana récréative par rapport à la moyenne sur trois ans (2010-2012) avant la légalisation.
 Les décès dus à la marijuana liée à la circulation ont augmenté de 62%, passant de 71 à 115 personnes après la légalisation de la marijuana à des fins récréatives en 2013.
 En 2009, les décès de la route liés à la marijuana au Colorado impliquant des opérateurs testés positifs pour la marijuana représentaient 10% de tous les décès de la route. En 2015, ce nombre a doublé pour atteindre 21%.
 La consommation de marijuana par les jeunes le mois dernier a augmenté de 20% au cours de la moyenne de deux ans (2013/2014) depuis que le Colorado a légalisé la marijuana à des fins récréatives par rapport à la moyenne de deux ans avant la légalisation (2011/2012).
POUR RAPPEL, voici la définition officielle de drogue, donnée par lAcadémie Nationale Française de Médecine, le 28 novembre 2006 :
1- Les drogues sont des poisons pour le corps
2- Les drogues sont des psychotropes (modification des perceptions, de la mémoire)
3- Les drogues peuvent induire un besoin ou une addiction
La véritable solution serait de porter connaissance ce sujet entièrement à la population et surtout aux jeunes car avec toute cette connaissance sur ce que sont réellement les drogues,
la seule chose qui n'ait jamais été faite avec succès, est la prévention sous forme éducative !
Il s'agit de la vraie prévention à grande échelle et à long terme en informant sur les réels dangers des drogues, dès le plus jeune âge, de la même façon que lon apprend à lire. CQFD !";;;
